,gamma,time,iterations,reward,method
0,0.1,5.793571472167969e-05,1,4.39658473,policy_iteration
1,0.2,6.818771362304688e-05,1,4.882665888832,policy_iteration
2,0.3,0.00012803077697753906,2,5.491883648945864,policy_iteration
3,0.4,0.00014781951904296875,2,6.277534279531349,policy_iteration
4,0.6,0.00026702880859375,3,8.809917159982597,policy_iteration
5,0.9,0.003078937530517578,10,23.17234211944304,policy_iteration
6,1.0,0.5765159130096436,20,4771.855955678191,policy_iteration
0,0.1,9.703636169433594e-05,5,4.39658473,value_iteration
1,0.2,0.00012636184692382812,7,4.882665888832,value_iteration
2,0.3,0.00017309188842773438,10,5.491919461389759,value_iteration
3,0.4,0.0002238750457763672,13,6.277558935662595,value_iteration
4,0.6,0.00037598609924316406,22,8.80996888236259,value_iteration
5,0.9,0.0012001991271972656,72,23.170025014584606,value_iteration
6,1.0,0.0018031597137451172,120,91.85584261033341,value_iteration
0,0.1,1.40431809425354,100000,4.42220294709454,q_learning
1,0.2,1.273644208908081,100000,4.703192668474664,q_learning
2,0.3,1.2563362121582031,100000,3.881127607387981,q_learning
3,0.4,1.249403953552246,100000,5.78532945419176,q_learning
4,0.6,1.2383549213409424,100000,6.325107511715436,q_learning
5,0.9,1.2672119140625,100000,11.213910481117894,q_learning
6,1.0,1.2474360466003418,100000,63.76639371544605,q_learning
