,gamma,time,iterations,reward,method
0,0.1,0.0012240409851074219,1,4.39658473,policy_iteration
1,0.3,0.016549110412597656,2,5.491883648945864,policy_iteration
2,0.6,0.046243906021118164,3,8.809917159982597,policy_iteration
3,0.9,0.22968292236328125,10,23.17234211944304,policy_iteration
4,1.0,25.060393810272217,20,4771.855955678191,policy_iteration
0,0.1,0.021770954132080078,5,4.39658473,value_iteration
1,0.3,0.0025262832641601562,10,5.491919461389759,value_iteration
2,0.6,0.0021750926971435547,22,8.80996888236259,value_iteration
3,0.9,0.04403877258300781,72,23.170025014584606,value_iteration
4,1.0,0.04660201072692871,120,91.85584261033341,value_iteration
0,0.1,2.2946560382843018,100000,1.0091546709160324,q_learning
1,0.3,2.305466890335083,100000,1.0911913504152129,q_learning
2,0.6,2.328650951385498,100000,1.526945109509186,q_learning
3,0.9,2.3606631755828857,100000,5.031060672211852,q_learning
4,1.0,2.300241708755493,100000,63.17309812419755,q_learning
