,gamma,time,iterations,reward,avg_steps,success_rate,method
0,0.1,0.000164031982421875,3,0.34518518518518515,18.778225806451612,0.248,policy_iteration
1,0.2,0.0002181529998779297,4,0.3589794238683127,19.758793969849247,0.19899999999999995,policy_iteration
2,0.3,0.00022721290588378906,4,0.3750766666666666,31.02528735632184,0.43500000000000005,policy_iteration
3,0.4,0.0002391338348388672,4,0.39431315372656606,28.82112068965517,0.46399999999999997,policy_iteration
4,0.6,0.0002830028533935547,4,0.4476230437546666,30.137472283813747,0.45099999999999996,policy_iteration
5,0.9,0.0009770393371582031,5,0.639006272546881,45.996173469387756,0.784,policy_iteration
6,1.0,0.1644139289855957,6,0.9411764705882337,50.487893462469735,0.8260000000000001,policy_iteration
0,0.1,0.0001010894775390625,4,0.3452345679012345,20.17117117117117,0.22199999999999998,value_iteration
1,0.2,0.00013709068298339844,6,0.3589895198902606,18.855203619909503,0.22099999999999997,value_iteration
2,0.3,0.0001819133758544922,8,0.3751011333333333,29.619747899159663,0.476,value_iteration
3,0.4,0.00021910667419433594,10,0.3943297594206845,29.131455399061032,0.42600000000000005,value_iteration
4,0.6,0.0003559589385986328,17,0.44764703969771513,29.380281690140844,0.42600000000000005,value_iteration
5,0.9,0.001531839370727539,77,0.6390188071448295,42.092071611253196,0.782,value_iteration
6,1.0,0.0061609745025634766,330,0.941115900313577,50.91417910447761,0.804,value_iteration
0,0.1,1.347449779510498,100000,0.17708997163472062,15.591836734693878,0.049000000000000044,q_learning
1,0.2,1.3241260051727295,100000,0.013760690404459144,17.68867924528302,0.10599999999999998,q_learning
2,0.3,1.333427906036377,100000,0.09107476312408952,16.56338028169014,0.07099999999999995,q_learning
3,0.4,1.3367159366607666,100000,0.08111886594854752,27.840236686390533,0.16900000000000004,q_learning
4,0.6,1.3489329814910889,100000,0.1490157948991155,36.2952380952381,0.42000000000000004,q_learning
5,0.9,1.4192709922790527,100000,0.04906003297058694,16.761904761904763,0.08399999999999996,q_learning
6,1.0,1.3569328784942627,100000,0.13751180805039293,23.830303030303032,0.16500000000000004,q_learning
